Name, rank, wins, games, efficiency, division
zd_2Brains, 226.329499, 107813, 198840, 0.0221941883373, 3
zd_3Brains, 185.237285, 101942, 202600, 0.0281640980051, 3
zd_2Blasts, 285.746513, 119910, 197760, 0.0202923458896, 3
zd_2Brains, 211.008626, 108765, 199540, 0.0222911167456, 3
zd_3Brain_safe, 190.323604, 103119, 194400, 0.0570363833516, 3
zd_3Brain_safe, 205.243205, 104907, 197580, 0.056875695542, 3
zd_3Brains, 197.100351, 102053, 202640, 0.0280721459084, 3
Base class, 22.582385, 25720, 197060, 0.0433897063669, 3
zd_2Blasts, 276.428531, 121791, 201620, 0.0202444977835, 3
