Name, rank, wins, games, efficiency, division
zd_2Blasts, 278.724961, 68007, 197020, 0.0308705240049, 3
zd_3Brains, 214.586784, 50468, 198220, 0.0464380037825, 3
zd_3Brains, 202.775434, 51491, 202080, 0.0467457335776, 3
Base class, 2.944372, 1651, 201120, 0.545563371452, 3
zd_3Brain_safe, 220.339577, 54326, 200480, 0.126888078499, 3
zd_2Brains, 209.264364, 49474, 199140, 0.0414266955252, 3
zd_2Blasts, 278.586888, 69329, 198820, 0.0309777501584, 3
zd_2Brains, 179.684012, 49934, 199840, 0.041416134752, 3
zd_3Brain_safe, 213.093607, 53340, 195360, 0.126053033628, 3
