Name, rank, wins, games, efficiency, division
zd_3Brain_safe, 187.210162, 51429, 97540, 0.0346474502048, 3
Base class, 36.214743, 12912, 98880, 0, 3
zd_2Blasts, 290.301880, 60839, 101260, 0.0116207572247, 3
zd_2Brains, 204.354814, 54039, 98740, 0.0121050538012, 3
zd_2Blasts, 279.729910, 61102, 101160, 0.0117370834218, 3
zd_3Brains, 189.076216, 50028, 99120, 0.0170363294828, 3
zd_3Brain_safe, 208.509796, 53217, 99840, 0.034541026611, 3
zd_3Brains, 179.062637, 49259, 98420, 0.0171804401964, 3
zd_2Brains, 225.539841, 55195, 101080, 0.0125206016805, 3
